10000
id_1 x_86185 y_68006
id_139 x_71161 y_20979
id_140 x_84706 y_73674
id_141 x_54844 y_14642
id_142 x_73285 y_5592
id_143 x_62668 y_19876
id_144 x_52600 y_90597
id_145 x_30760 y_2718
id_146 x_68813 y_16761
id_147 x_29556 y_86499
id_148 x_9168 y_89749
id_149 x_54909 y_26120
id_150 x_74471 y_58710
id_151 x_44887 y_37497
id_152 x_64783 y_53959
id_153 x_28583 y_41741
id_154 x_41339 y_73422
id_155 x_21168 y_64218
id_156 x_37183 y_99439
id_157 x_15476 y_62316
id_158 x_76615 y_75268
id_159 x_84534 y_42569
id_160 x_29234 y_21519
id_161 x_1762 y_67726
id_162 x_68264 y_26751
id_163 x_5976 y_47423
id_164 x_24769 y_3603
id_165 x_86843 y_52297
id_166 x_29491 y_62043
id_167 x_43120 y_90717
id_168 x_12266 y_14770
id_169 x_70786 y_39727
id_170 x_85308 y_96228
id_171 x_71071 y_27373
id_172 x_71128 y_46385
id_173 x_29457 y_22287
id_174 x_48469 y_83137
id_175 x_5842 y_98190
id_176 x_80330 y_63120
id_177 x_93379 y_5945
id_178 x_57028 y_9659
id_179 x_48891 y_3848
id_180 x_34206 y_68785
id_181 x_71314 y_68029
id_182 x_70790 y_39427
id_183 x_6260 y_29159
id_184 x_75133 y_12338
id_185 x_84601 y_59103
id_186 x_48921 y_43760
id_187 x_60858 y_61713
id_188 x_77885 y_84490
id_189 x_3251 y_5667
id_190 x_55983 y_82770
id_191 x_1380 y_74049
id_192 x_45411 y_80273
id_193 x_99830 y_95337
id_194 x_68659 y_24497
id_195 x_36395 y_63504
id_196 x_821 y_27976
id_197 x_62128 y_51147
id_198 x_80428 y_14990
id_199 x_47115 y_68873
id_200 x_85328 y_9834
id_201 x_30644 y_26600
id_202 x_26469 y_37202
id_203 x_57342 y_8019
id_204 x_96920 y_24866
id_205 x_51898 y_78127
id_206 x_76049 y_21612
id_207 x_24148 y_5586
id_208 x_29529 y_69238
id_209 x_63583 y_96581
id_210 x_64655 y_96443
id_211 x_77756 y_4934
id_212 x_97455 y_34566
id_213 x_52575 y_4408
id_214 x_63159 y_90379
id_215 x_64178 y_83460
id_216 x_54823 y_49522
id_217 x_51813 y_50145
id_218 x_6252 y_25672
id_219 x_69103 y_15430
id_220 x_44824 y_15159
id_221 x_67080 y_56876
id_222 x_27438 y_64521
id_223 x_26558 y_51466
id_224 x_38516 y_9323
id_225 x_49671 y_6286
id_226 x_72835 y_96626
id_227 x_40850 y_8837
id_228 x_47949 y_60564
id_229 x_55995 y_64965
id_230 x_91057 y_80796
id_231 x_75324 y_91677
id_232 x_23375 y_16920
id_233 x_60106 y_84589
id_234 x_21453 y_78506
id_235 x_86429 y_85293
id_236 x_69315 y_59967
id_237 x_10188 y_32629
id_238 x_27937 y_42298
id_239 x_6619 y_93682
id_240 x_39242 y_39544
id_241 x_45008 y_35221
id_242 x_50717 y_46910
id_243 x_4611 y_14418
id_244 x_93650 y_29509
id_245 x_11347 y_38840
id_246 x_73151 y_76027
id_247 x_76499 y_70025
id_248 x_31279 y_29956
id_249 x_48432 y_22424
id_250 x_26019 y_2543
id_251 x_46257 y_40008
id_252 x_28245 y_66248
id_253 x_30388 y_16584
id_254 x_76469 y_25227
id_255 x_79135 y_62648
id_256 x_44864 y_60284
id_257 x_82706 y_11535
id_258 x_73899 y_49682
id_259 x_36466 y_736
id_260 x_84915 y_74378
id_261 x_13770 y_60397
id_262 x_50045 y_26486
id_263 x_25407 y_90356
id_264 x_17119 y_53134
id_265 x_27435 y_9511
id_266 x_95544 y_84413
id_267 x_22115 y_16878
id_268 x_93600 y_13726
id_269 x_7687 y_12391
id_270 x_60231 y_21608
id_271 x_71887 y_87298
id_272 x_25084 y_59957
id_273 x_91392 y_8979
id_274 x_49437 y_42633
id_275 x_94780 y_93050
id_276 x_97611 y_20499
id_277 x_70156 y_76816
id_278 x_13554 y_54244
id_279 x_50209 y_82461
id_280 x_40527 y_36692
id_281 x_87303 y_85797
id_282 x_53141 y_57816
id_283 x_39063 y_86958
id_284 x_80508 y_50309
id_285 x_20999 y_13126
id_286 x_86815 y_1292
id_287 x_46836 y_70184
id_288 x_41400 y_66664
id_289 x_69522 y_130
id_290 x_54223 y_78547
id_291 x_56295 y_94169
id_292 x_74625 y_93458
id_293 x_79710 y_57564
id_294 x_51334 y_89064
id_295 x_83210 y_21678
id_296 x_29931 y_80758
id_297 x_84591 y_51044
id_298 x_20325 y_95815
id_299 x_13637 y_98896
id_300 x_1238 y_12492
id_301 x_41215 y_23264
id_302 x_41341 y_44216
id_303 x_46303 y_87575
id_304 x_7361 y_24853
id_305 x_84701 y_34614
id_306 x_98366 y_30082
id_307 x_68573 y_40796
id_308 x_92364 y_52013
id_309 x_39522 y_28866
id_310 x_16502 y_29442
id_311 x_19549 y_41480
id_312 x_55316 y_24518
id_313 x_54033 y_55547
id_314 x_92893 y_28112
id_315 x_18786 y_47788
id_316 x_44211 y_70771
id_317 x_49264 y_5651
id_318 x_68585 y_13939
id_319 x_64169 y_14551
id_320 x_73824 y_96984
id_321 x_97996 y_42326
id_322 x_13568 y_19562
id_323 x_27436 y_84880
id_324 x_52260 y_46002
id_325 x_75129 y_33183
id_326 x_22274 y_28633
id_327 x_894 y_71080
id_328 x_25971 y_60370
id_329 x_45358 y_15858
id_330 x_41799 y_83344
id_331 x_73817 y_69022
id_332 x_77996 y_52
id_333 x_79183 y_53477
id_334 x_80110 y_56176
id_335 x_42063 y_75105
id_336 x_39201 y_90183
id_337 x_13256 y_61654
id_338 x_66506 y_73753
id_339 x_79410 y_99961
id_340 x_97273 y_99251
id_341 x_96084 y_13678
id_342 x_61590 y_5697
id_343 x_24132 y_98025
id_344 x_13248 y_73084
id_345 x_85111 y_55509
id_346 x_39035 y_56358
id_347 x_59332 y_57126
id_348 x_80320 y_75061
id_349 x_86184 y_87250
id_350 x_86390 y_22335
id_351 x_90553 y_17238
id_352 x_84719 y_7908
id_353 x_51424 y_92706
id_354 x_97207 y_3657
id_355 x_49163 y_12518
id_356 x_53396 y_17488
id_357 x_76522 y_23694
id_358 x_51743 y_81524
id_359 x_75060 y_55793
id_360 x_98311 y_3967
id_361 x_63465 y_70735
id_362 x_8511 y_502
id_363 x_57177 y_9618
id_364 x_92069 y_90756
id_365 x_39715 y_76766
id_366 x_53945 y_18051
id_367 x_35337 y_13056
id_368 x_34672 y_26604
id_369 x_49857 y_75524
id_370 x_82434 y_9289
id_371 x_91950 y_58316
id_372 x_96158 y_21252
id_373 x_60726 y_61225
id_374 x_4009 y_39876
id_375 x_87077 y_36393
id_376 x_44897 y_40020
id_377 x_46040 y_21193
id_378 x_1933 y_44910
id_379 x_15374 y_95849
id_380 x_96292 y_7734
id_381 x_41535 y_88083
id_382 x_87463 y_76721
id_383 x_88436 y_83870
id_384 x_41673 y_97366
id_385 x_86640 y_93314
id_386 x_24055 y_9471
id_387 x_71050 y_63757
id_388 x_42129 y_3802
id_389 x_93693 y_28386
id_390 x_18275 y_13420
id_391 x_24875 y_27964
id_392 x_97061 y_28098
id_393 x_10717 y_45693
id_394 x_99681 y_36782
id_395 x_38072 y_50855
id_396 x_22205 y_22642
id_397 x_68772 y_55494
id_398 x_36936 y_58039
id_399 x_44387 y_50293
id_400 x_96912 y_72599
id_401 x_29906 y_666
id_402 x_62430 y_96607
id_403 x_60211 y_52222
id_404 x_65425 y_14028
id_405 x_76702 y_15891
id_406 x_2668 y_94760
id_407 x_93129 y_77366
id_408 x_1938 y_14070
id_409 x_9456 y_2911
id_410 x_36688 y_8678
id_411 x_479 y_94202
id_412 x_74197 y_63592
id_413 x_41996 y_78500
id_414 x_29784 y_71531
id_415 x_1429 y_7336
id_416 x_65406 y_57678
id_417 x_12148 y_76776
id_418 x_14787 y_16479
id_419 x_71091 y_75424
id_420 x_39206 y_64361
id_421 x_47876 y_12520
id_422 x_18183 y_72479
id_423 x_70193 y_77784
id_424 x_57491 y_6981
id_425 x_55113 y_37119
id_426 x_53320 y_70795
id_427 x_88812 y_73836
id_428 x_85830 y_10562
id_429 x_18279 y_43779
id_430 x_27986 y_25093
id_431 x_7700 y_24507
id_432 x_46255 y_87607
id_433 x_29536 y_3669
id_434 x_38600 y_73023
id_435 x_5699 y_69754
id_436 x_2189 y_63684
id_437 x_87757 y_39597
id_438 x_48314 y_92168
id_439 x_66786 y_81326
id_440 x_85271 y_68209
id_441 x_33254 y_68901
id_442 x_71256 y_28255
id_443 x_65232 y_34928
id_444 x_98846 y_40814
id_445 x_9269 y_72166
id_446 x_10207 y_98521
id_447 x_32424 y_70910
id_448 x_57893 y_28680
id_449 x_66239 y_69423
id_450 x_19970 y_58119
id_451 x_33835 y_37626
id_452 x_50143 y_75239
id_453 x_49863 y_10456
id_454 x_93682 y_42464
id_455 x_9686 y_36615
id_456 x_28162 y_25631
id_457 x_38976 y_10883
id_458 x_94362 y_23392
id_459 x_57789 y_13725
id_460 x_67172 y_99303
id_461 x_24249 y_90618
id_462 x_78932 y_42050
id_463 x_62106 y_65338
id_464 x_48349 y_5142
id_465 x_43733 y_96390
id_466 x_87002 y_6376
id_467 x_95533 y_53828
id_468 x_52399 y_99542
id_469 x_16260 y_14921
id_470 x_91665 y_66084
id_471 x_50422 y_51391
id_472 x_73145 y_12775
id_473 x_38717 y_8450
id_474 x_34576 y_3036
id_475 x_75360 y_56393
id_476 x_85918 y_94081
id_477 x_38208 y_29192
id_478 x_92586 y_99890
id_479 x_21721 y_51378
id_480 x_30492 y_50849
id_481 x_95123 y_94419
id_482 x_48184 y_74914
id_483 x_28501 y_96870
id_484 x_93352 y_82290
id_485 x_78126 y_28775
id_486 x_61021 y_95861
id_487 x_98963 y_80108
id_488 x_99045 y_32987
id_489 x_57077 y_5471
id_490 x_62783 y_10796
id_491 x_47596 y_62868
id_492 x_45388 y_16716
id_493 x_84906 y_43012
id_494 x_22673 y_58757
id_495 x_20907 y_97501
id_496 x_42290 y_85925
id_497 x_64460 y_39081
id_498 x_55769 y_48154
id_499 x_20565 y_5326
id_500 x_38963 y_47271
id_501 x_41321 y_48231
id_502 x_71528 y_15781
id_503 x_82413 y_36531
id_504 x_49286 y_48588
id_505 x_88634 y_35023
id_506 x_84697 y_4348
id_507 x_89858 y_55705
id_508 x_10079 y_87696
id_509 x_74942 y_59250
id_510 x_35897 y_21412
id_511 x_25154 y_22165
id_512 x_32064 y_18428
id_513 x_31052 y_74887
id_514 x_94148 y_67598
id_515 x_87108 y_59191
id_516 x_28268 y_54276
id_517 x_56947 y_49407
id_518 x_38601 y_47012
id_519 x_28700 y_31334
id_520 x_29648 y_95034
id_521 x_34759 y_35109
id_522 x_41733 y_97718
id_523 x_93161 y_73921
id_524 x_22688 y_26840
id_525 x_38816 y_49092
id_526 x_1294 y_5192
id_527 x_52001 y_43909
id_528 x_68739 y_71004
id_529 x_58786 y_43516
id_530 x_93236 y_86619
id_531 x_73511 y_86219
id_532 x_89874 y_82008
id_533 x_76921 y_72801
id_534 x_42929 y_58946
id_535 x_75265 y_34698
id_536 x_31018 y_20079
id_537 x_65433 y_89386
id_538 x_36897 y_28571
id_539 x_39114 y_91847
id_540 x_33114 y_48713
id_541 x_95001 y_24710
id_542 x_22362 y_65552
id_543 x_92218 y_56455
id_544 x_77103 y_32551
id_545 x_70442 y_37031
id_546 x_66844 y_50242
id_547 x_82599 y_93278
id_548 x_83473 y_35990
id_549 x_34537 y_32756
id_550 x_75101 y_5232
id_551 x_2759 y_63908
id_552 x_77143 y_47930
id_553 x_6063 y_92884
id_554 x_85655 y_50490
id_555 x_39864 y_62974
id_556 x_52461 y_83028
id_557 x_43006 y_61240
id_558 x_94189 y_44592
id_559 x_56007 y_28801
id_560 x_98054 y_34878
id_561 x_47008 y_76111
id_562 x_76065 y_99932
id_563 x_27074 y_22692
id_564 x_66334 y_81482
id_565 x_50035 y_51942
id_566 x_5235 y_84808
id_567 x_93732 y_95951
id_568 x_97389 y_68412
id_569 x_49299 y_42731
id_570 x_91816 y_50267
id_571 x_3034 y_88798
id_572 x_32044 y_20062
id_573 x_81442 y_43752
id_574 x_85581 y_44598
id_575 x_44187 y_30322
id_576 x_73860 y_54366
id_577 x_52001 y_13263
id_578 x_17645 y_3377
id_579 x_6966 y_33595
id_580 x_84820 y_1382
id_581 x_61166 y_20822
id_582 x_77608 y_27941
id_583 x_16321 y_5113
id_584 x_24489 y_51127
id_585 x_91851 y_53873
id_586 x_48412 y_90184
id_587 x_21668 y_12674
id_588 x_67395 y_81067
id_589 x_51090 y_39222
id_590 x_46190 y_26575
id_591 x_44389 y_80865
id_592 x_58409 y_38628
id_593 x_80777 y_61053
id_594 x_37369 y_9276
id_595 x_12067 y_8273
id_596 x_90879 y_79143
id_597 x_78757 y_82127
id_598 x_30282 y_7257
id_599 x_32948 y_25578
id_600 x_17299 y_84613
id_601 x_96304 y_99800
id_602 x_63573 y_75301
id_603 x_89167 y_38657
id_604 x_27261 y_13675
id_605 x_2969 y_93504
id_606 x_38648 y_33783
id_607 x_52246 y_25849
id_608 x_52465 y_58166
id_609 x_34853 y_45325
id_610 x_68435 y_27121
id_611 x_49377 y_83512
id_612 x_83559 y_6681
id_613 x_67283 y_40328
id_614 x_39736 y_73782
id_615 x_34005 y_39024
id_616 x_8555 y_40504
id_617 x_77934 y_78266
id_618 x_11412 y_45740
id_619 x_39238 y_75354
id_620 x_7611 y_12311
id_621 x_91398 y_53305
id_622 x_95689 y_40271
id_623 x_17584 y_36362
id_624 x_63922 y_83036
id_625 x_21222 y_83424
id_626 x_94837 y_31985
id_627 x_95541 y_6951
id_628 x_75504 y_17285
id_629 x_50427 y_96111
id_630 x_90495 y_17974
id_631 x_96549 y_87222
id_632 x_77622 y_62691
id_633 x_16528 y_2012
id_634 x_7897 y_93969
id_635 x_10829 y_4769
id_636 x_10642 y_63605
id_637 x_92066 y_13156
id_638 x_2283 y_24412
id_639 x_15614 y_34258
id_640 x_93056 y_84506
id_641 x_76666 y_87419
id_642 x_39740 y_94304
id_643 x_74296 y_18424
id_644 x_84462 y_43527
id_645 x_41648 y_5847
id_646 x_69755 y_55755
id_647 x_67993 y_9635
id_648 x_48251 y_81483
id_649 x_93196 y_14490
id_650 x_11735 y_7090
id_651 x_38073 y_76154
id_652 x_48780 y_16799
id_653 x_45096 y_87385
id_654 x_2762 y_67439
id_655 x_43124 y_42255
id_656 x_42781 y_61714
id_657 x_17076 y_92325
id_658 x_78861 y_34665
id_659 x_58907 y_56310
id_660 x_49788 y_171
id_661 x_99752 y_66064
id_662 x_87018 y_39553
id_663 x_74797 y_6010
id_664 x_11332 y_52765
id_665 x_52189 y_30586
id_666 x_50248 y_34122
id_667 x_65229 y_24853
id_668 x_73684 y_79159
id_669 x_23114 y_7091
id_670 x_32953 y_76982
id_671 x_39667 y_59033
id_672 x_53901 y_93333
id_673 x_11769 y_9328
id_674 x_78848 y_3591
id_675 x_99612 y_88880
id_676 x_73947 y_92086
id_677 x_9450 y_22923
id_678 x_18714 y_94331
id_679 x_56159 y_23983
id_680 x_72647 y_22161
id_681 x_87717 y_2339
id_682 x_70254 y_78286
id_683 x_86624 y_16151
id_684 x_30251 y_36384
id_685 x_24313 y_42114
id_686 x_77300 y_35599
id_687 x_33760 y_59331
id_688 x_65366 y_14226
id_689 x_82802 y_4003
id_690 x_60657 y_86322
id_691 x_76063 y_70645
id_692 x_89020 y_47156
id_693 x_86934 y_6687
id_694 x_77836 y_78628
id_695 x_22707 y_71671
id_696 x_25626 y_14189
id_697 x_55762 y_9669
id_698 x_13944 y_14291
id_699 x_11594 y_14122
id_700 x_35621 y_98017
id_701 x_90521 y_48010
id_702 x_50999 y_74315
id_703 x_14065 y_19044
id_704 x_99525 y_17110
id_705 x_29288 y_99542
id_706 x_87935 y_32607
id_707 x_74766 y_23704
id_708 x_48205 y_74186
id_709 x_10436 y_91197
id_710 x_8566 y_70588
id_711 x_40191 y_55274
id_712 x_49100 y_46429
id_713 x_10899 y_76093
id_714 x_19763 y_30619
id_715 x_54425 y_75476
id_716 x_83178 y_67856
id_717 x_50267 y_38022
id_718 x_7124 y_71153
id_719 x_25591 y_65324
id_720 x_72377 y_79215
id_721 x_76715 y_4974
id_722 x_80394 y_11484
id_723 x_91521 y_44093
id_724 x_42323 y_45817
id_725 x_75796 y_78343
id_726 x_5903 y_78999
id_727 x_38172 y_41668
id_728 x_30054 y_68676
id_729 x_68109 y_9456
id_730 x_48287 y_96811
id_731 x_49295 y_68410
id_732 x_71555 y_39361
id_733 x_86847 y_80054
id_734 x_68759 y_74674
id_735 x_90877 y_51673
id_736 x_28832 y_13942
id_737 x_51261 y_68385
id_738 x_52194 y_91066
id_739 x_58868 y_33127
id_740 x_41322 y_6433
id_741 x_77033 y_7537
id_742 x_60294 y_79327
id_743 x_43716 y_46006
id_744 x_11382 y_27104
id_745 x_89594 y_67646
id_746 x_33102 y_55749
id_747 x_90214 y_16448
id_748 x_58640 y_16068
id_749 x_31390 y_18643
id_750 x_86121 y_52510
id_751 x_56187 y_58045
id_752 x_2957 y_47527
id_753 x_79109 y_55148
id_754 x_75318 y_43329
id_755 x_98525 y_53755
id_756 x_60779 y_5073
id_757 x_11904 y_90182
id_758 x_27263 y_74752
id_759 x_40085 y_44316
id_760 x_64640 y_53424
id_761 x_96600 y_49321
id_762 x_56685 y_40947
id_763 x_95969 y_67299
id_764 x_40577 y_56996
id_765 x_80926 y_21931
id_766 x_18696 y_64897
id_767 x_62703 y_15940
id_768 x_3235 y_20698
id_769 x_10768 y_51136
id_770 x_67954 y_73892
id_771 x_98831 y_11904
id_772 x_53407 y_53341
id_773 x_12477 y_69153
id_774 x_22037 y_82203
id_775 x_50427 y_11097
id_776 x_87800 y_79047
id_777 x_6225 y_9631
id_778 x_51281 y_18830
id_779 x_60 y_86694
id_780 x_55772 y_47060
id_781 x_41450 y_53640
id_782 x_42362 y_63214
id_783 x_42714 y_58504
id_784 x_22817 y_15337
id_785 x_70384 y_90955
id_786 x_7874 y_76808
id_787 x_17186 y_62825
id_788 x_25555 y_8313
id_789 x_694 y_3262
id_790 x_39177 y_43391
id_791 x_46468 y_81915
id_792 x_28005 y_74240
id_793 x_93243 y_938
id_794 x_24781 y_56021
id_795 x_65646 y_77241
id_796 x_13895 y_92480
id_797 x_95992 y_70042
id_798 x_81521 y_13514
id_799 x_40806 y_95626
id_800 x_74776 y_6139
id_801 x_30058 y_11158
id_802 x_70810 y_14344
id_803 x_7491 y_42443
id_804 x_78715 y_80453
id_805 x_68936 y_76734
id_806 x_97210 y_60847
id_807 x_82206 y_41005
id_808 x_29323 y_12292
id_809 x_76913 y_38543
id_810 x_11603 y_11629
id_811 x_25485 y_22272
id_812 x_49885 y_41188
id_813 x_97680 y_41932
id_814 x_66227 y_45065
id_815 x_60057 y_14035
id_816 x_52361 y_37273
id_817 x_9166 y_28473
id_818 x_93836 y_21770
id_819 x_72596 y_23707
id_820 x_76025 y_66519
id_821 x_85595 y_33678
id_822 x_8250 y_58955
id_823 x_52596 y_33867
id_824 x_5499 y_58667
id_825 x_32802 y_91406
id_826 x_48572 y_54532
id_827 x_46875 y_54686
id_828 x_2955 y_28244
id_829 x_87807 y_1602
id_830 x_14317 y_23878
id_831 x_33228 y_2398
id_832 x_14253 y_24041
id_833 x_98669 y_43021
id_834 x_63745 y_37143
id_835 x_41733 y_97932
id_836 x_33774 y_7472
id_837 x_25634 y_37562
id_838 x_72636 y_69991
id_839 x_77249 y_4860
id_840 x_37710 y_85171
id_841 x_29600 y_97868
id_842 x_75794 y_5661
id_843 x_21596 y_50802
id_844 x_20593 y_46241
id_845 x_38900 y_14814
id_846 x_38535 y_51248
id_847 x_18950 y_1421
id_848 x_94815 y_79541
id_849 x_10435 y_66544
id_850 x_30428 y_56091
id_851 x_72963 y_81150
id_852 x_37901 y_71392
id_853 x_26157 y_55684
id_854 x_98553 y_45152
id_855 x_9118 y_59806
id_856 x_97319 y_9106
id_857 x_90931 y_6376
id_858 x_62540 y_5286
id_859 x_80848 y_49204
id_860 x_87570 y_40719
id_861 x_22782 y_77770
id_862 x_78666 y_87286
id_863 x_22921 y_78938
id_864 x_39348 y_66322
id_865 x_51554 y_75625
id_866 x_45255 y_11598
id_867 x_80615 y_45459
id_868 x_85507 y_61381
id_869 x_66976 y_68645
id_870 x_46665 y_90596
id_871 x_68192 y_53583
id_872 x_93629 y_57437
id_873 x_82177 y_41204
id_874 x_58123 y_5303
id_875 x_35200 y_94588
id_876 x_79940 y_30574
id_877 x_3644 y_39088
id_878 x_58663 y_99455
id_879 x_44095 y_30020
id_880 x_64345 y_73051
id_881 x_23652 y_89910
id_882 x_24451 y_78791
id_883 x_87729 y_75366
id_884 x_51351 y_48478
id_885 x_76174 y_4821
id_886 x_99747 y_28476
id_887 x_188 y_2723
id_888 x_46637 y_55944
id_889 x_22289 y_93175
id_890 x_67776 y_86518
id_891 x_39523 y_6611
id_892 x_44045 y_53465
id_893 x_56104 y_46771
id_894 x_68774 y_36106
id_895 x_45872 y_2062
id_896 x_42745 y_16166
id_897 x_47210 y_75331
id_898 x_37477 y_4726
id_899 x_3495 y_49140
id_900 x_79360 y_29569
id_901 x_60676 y_99838
id_902 x_57305 y_82973
id_903 x_60238 y_23013
id_904 x_84788 y_43390
id_905 x_20607 y_35387
id_906 x_53531 y_930
id_907 x_82938 y_73740
id_908 x_520 y_36229
id_909 x_8282 y_20184
id_910 x_72675 y_25011
id_911 x_52292 y_44890
id_912 x_14187 y_66541
id_913 x_10880 y_72330
id_914 x_20407 y_63168
id_915 x_25698 y_45156
id_916 x_99128 y_10292
id_917 x_61809 y_81040
id_918 x_55213 y_91336
id_919 x_21586 y_92089
id_920 x_67727 y_10676
id_921 x_38673 y_63931
id_922 x_60100 y_39018
id_923 x_3752 y_72096
id_924 x_73297 y_90287
id_925 x_9860 y_47022
id_926 x_39595 y_96901
id_927 x_69225 y_85850
id_928 x_20262 y_1145
id_929 x_45799 y_49079
id_930 x_14309 y_34382
id_931 x_68156 y_73245
id_932 x_67425 y_12956
id_933 x_35878 y_76967
id_934 x_10339 y_39911
id_935 x_9276 y_37034
id_936 x_34057 y_65004
id_937 x_77051 y_63618
id_938 x_65752 y_22029
id_939 x_29404 y_9304
id_940 x_43607 y_32059
id_941 x_25151 y_5286
id_942 x_1446 y_34000
id_943 x_30561 y_29913
id_944 x_64771 y_79702
id_945 x_24910 y_79708
id_946 x_28624 y_9915
id_947 x_13163 y_31038
id_948 x_34695 y_9443
id_949 x_59720 y_51825
id_950 x_90173 y_25181
id_951 x_58844 y_46979
id_952 x_74087 y_19034
id_953 x_87140 y_98698
id_954 x_58193 y_19257
id_955 x_41405 y_93342
id_956 x_28986 y_28370
id_957 x_51164 y_10254
id_958 x_34954 y_43557
id_959 x_69406 y_84767
id_960 x_98973 y_46351
id_961 x_87274 y_47519
id_962 x_29542 y_22382
id_963 x_88929 y_85320
id_964 x_36566 y_79121
id_965 x_61284 y_64959
id_966 x_7458 y_39799
id_967 x_11 y_10696
id_968 x_27591 y_5048
id_969 x_7993 y_28586
id_970 x_35443 y_90334
id_971 x_65275 y_26385
id_972 x_87278 y_66859
id_973 x_60673 y_86457
id_974 x_68786 y_56387
id_975 x_14268 y_10920
id_976 x_31844 y_56305
id_977 x_87389 y_73218
id_978 x_53383 y_251
id_979 x_72025 y_78370
id_980 x_10348 y_91757
id_981 x_75184 y_55325
id_982 x_39816 y_83623
id_983 x_65373 y_79200
id_984 x_6562 y_14107
id_985 x_28131 y_48581
id_986 x_31718 y_52510
id_987 x_85494 y_23655
id_988 x_45638 y_51395
id_989 x_70280 y_64644
id_990 x_15679 y_50402
id_991 x_10252 y_96792
id_992 x_65331 y_27515
id_993 x_69505 y_68132
id_994 x_44977 y_47628
id_995 x_14819 y_59314
id_996 x_36543 y_15422
id_997 x_23277 y_50962
id_998 x_74381 y_99754
id_999 x_24091 y_53344
id_1000 x_42961 y_60214
